,domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
42185,us.battle.net-eu-wow.d3-account.net/battle_net_account1.php,10000000,0,0,0,59,0,0,1,35,4,1
83548,www.spocom.com/users/gjohnson/mutt/,10000000,0,1,9130,35,0,0,0,14,2,0
80022,it.slashdot.org/article.pl?sid=00/05/04/0938227,1859,0,1,8400,47,0,0,0,15,2,0
71446,strategoxt.org/Sdf/SGLR,10000000,0,1,6210,23,0,0,0,14,1,0
84149,www.wildpalm.co.uk/HeadLine.html,10000000,0,0,0,32,0,0,0,18,3,0
90623,shogiwar.webs.com/Shogi_War_Page/index.html,357,0,1,9498,43,0,0,0,17,2,0
21091,motownscuba.com/ekf6/encripted/ssl218.site/login.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e56778758263c7dd7bcb223ebce08cf77c6778758263c7dd7bcb223ebce08cf77c,10000000,0,1,2192,210,0,0,0,15,1,1
85506,marc.info/?l=mandrake-cooker,36935,0,1,6940,28,0,0,0,9,1,0
81029,groups.google.com/group/InterSystems-MV?hl=en,1,0,1,11322,45,0,0,0,17,2,0
34997,amigocard.freeoda.com/promocacartaoamigo2012/cadastro/cadastro5.php?QBKZMSR5NNQG493545NKB83EC6W156ACVLCZFAYR4B12XYGX0764P3F06X74PHRAUWSOE86SDNITZ7YL3YRLG8UR2RFVQVYNK37VIKBCH7KWX02FXVV1S1XF6R3GP5BW2POQB1XUILE8GXEIB3OOBR41WO3N9WWAAUBO,167736,0,1,4749,232,0,0,0,21,2,1
39964,secure.runescape.com.oous.asia/m=weblogin/loginform.html,10000000,0,0,0,56,0,0,0,30,4,1
73179,www.faisoncomputing.com/publications.htm,10000000,0,1,8402,40,0,0,0,23,2,0
86755,www.freewebtown.com/thockar/,10000000,0,1,6210,28,0,0,0,19,2,0
50629,www.myflorida.com/portal/Business,3396,0,1,10958,33,0,0,0,17,2,0
62503,www.fiu.edu/~mizrachs/hackethic.html,18838,0,0,0,36,0,0,0,11,2,0
3999,www.szorcik.pl/3xa,10000000,0,0,0,18,0,0,0,14,2,1
24250,bekloppter-hamburger.net/downloads/images/secure.capitec.secure/,10000000,0,0,0,64,0,0,1,24,1,1
20787,xosothudo.com.vn/paypal.co.il/paypal.co.il.cgi-bin.webscr.cmd-login-submitdispatch.paypal.co.il.webscr/paypal.co.il/webscr/8ddb6977693c28ddbae038e4f3510f5f/,771840,0,0,0,156,0,0,0,16,2,1
94648,games.groups.yahoo.com/group/hr-wraith/,4,0,1,10228,39,0,0,0,22,3,0
70155,www.showmetoronto.com/shezam/,10000000,0,1,8034,29,0,0,0,21,2,0
48455,groups.yahoo.com/group/KinderGoats/,4,0,1,10228,35,0,0,0,16,2,0
93864,www.42north.org/mjm/rpg/dc/,10000000,0,1,8402,27,0,0,0,15,2,0
27243,www.fulhelp.com/bin/user/control/panel/cll/logon/profile/payment_debit_card.jsp.htm,10000000,0,1,366,83,0,0,0,15,2,1
9699,sps-furnitura.ru/www.paypal.fr/,10000000,0,1,4018,31,0,0,1,16,1,1
78394,www.amazon.com/exec/obidos/ASIN/0201737930,9,0,1,10956,42,0,0,0,14,2,0
19177,bazardoriente.it/esco/eccolo/confirmation/e75bda94cbc9fc075275ed00218b0e57/,10000000,0,0,0,75,0,0,0,16,1,1
74629,hepwww.rl.ac.uk/theory/seymour/nlo/,10000000,0,0,0,35,0,0,0,15,3,0
18132,muhigiasacco.coop/paypaling/pp/14e6f162d011b0f2ed5a3e370bb606d4/?cmd=_home&amp;dispatch=5885d80a13c0db1f8e&amp;ee=95bd8e9b7d5beb795597855267540b0b,10000000,0,0,0,146,0,0,0,17,1,1
36233,www.saradreams.com/affiliate-website-wedding-03/wp-includes/hongleongconnect.my/login.htm,10000000,0,1,731,89,0,0,0,18,2,1
69072,searchenginewatch.com/article/2064383/Google-Adds-Directory,1875,0,1,8034,59,0,0,0,21,1,0
40843,9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cojrbHx7dhAihKkXq2FzDGNjziBPTE1kmDwdL7htQ-5uz-SjPjV6SWmtJrvOWsJWJyAoK6jrRDRkzhVBk_hqyUAS6eVy9N6vF9SY1uH2f5x6CB_Ckpts0zzkuEIlTqRv-QSb1jWbuzvCoftffjSOebGJ0ByZ4-UpB-8UCKLHh5TpiTOm88UvnfyPDWCgcFomDdH98V2bim7ifd7VHvd8xjvJI4phg\%3D\%3D&amp;attredirects=0,4570,0,1,6939,369,0,0,1,44,2,1
31047,peypel.us.com.cgi.ngi.webscre.maps.logins.webaps.mba.homes.billings.activet.homa.pluns.5542290739f57ac719fdf5bc44d702ac3faee8d0b7e678a25d883d0fa.demo.seriport.com/welcome.0841208705nf12408av49701v245a35136a872abkqa73461/9a49122137e35646ac2a2dde524ec286/wbscra.htm?cmd=_Processing&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365f59e11eedf772e350b13823b941b3f84f59e11eedf772e350b13823b941b3f84,10000000,0,1,366,421,0,0,0,162,18,1
17291,www.bharathadeepam.com/bbm/wp-admin/images/security-service472/us/details.html?cmd=_login-run,10000000,0,0,0,93,0,0,0,22,2,1
51972,www.angelfire.com/ma2/triplec/,2547,0,1,8035,30,0,0,0,17,2,0
32001,kindomain2.com/10789800ca0ec86bbbefa63f688ed35d/,10000000,0,0,0,48,0,0,0,14,1,1
68468,tools.ietf.org/html/rfc2765,14969,0,1,9133,27,0,0,0,14,2,0
51670,www.nemolution.com/snow/,10000000,0,1,6575,24,0,0,0,18,2,0
27005,www.habbo3dpx.rel7.com/,10000000,0,1,731,23,0,0,0,22,3,1
40400,9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cpcZnM2lBKoZxn90I5FXnlhWupnTa7_SpjH_jquLqH3zndW5Q6evy6hV5FxmhzCsZ1ZGZkzQ6XnqVGo37-ooqC0zhge_F83OPbEcko3WMaAyMi7AEg-PIZcHZD9cBgI6Y5VbV0zA8yQkRMNgMQnTgYNI2IbVQaKNQsy_9cc1NSjW9tY8yBKVWCtSYniSUUkeWWtZ8uU1y8jn0lA7WCnB3ZU2LTYmw\%3D\%3D&amp;attredirects=1,4570,0,1,6939,369,0,0,1,44,2,1
2582,bbva-espn0ttbls-es.66.pl/,10000000,0,0,0,25,0,0,1,24,2,1
3657,script.redby.fr/,10000000,0,0,0,16,0,0,0,15,2,1
95854,www.gamespot.com/ps/adventure/aloneinthedarkthenn/,753,0,1,9131,50,0,0,0,16,2,0
60312,www.mpq.mpg.de/Theorygroup/CIRAC/wiki/index.php/Theory_Division.html,22924,0,0,0,68,0,0,0,14,3,0
89279,www.theapplecollection.com/Collection/MacAquarium/index.shtml,10000000,0,1,7670,61,0,0,0,26,2,0
20051,centras.kz/secure/westpac/index.html,10000000,0,0,0,36,0,0,0,10,1,1
51230,www.hunterdouglascontract.com/ceilings,469311,0,1,6210,38,0,0,0,29,2,0
46680,security-account.int.tf/?=paypal=_login-submit&dispatch=service_centre?source=security&customer=aD7EFQu6opqoDjQ6S7H0yvE7GTHLSqMSUJnqqHmF,10000000,0,0,0,136,0,0,1,23,2,1
66279,tools.ietf.org/html/rfc281,14969,0,1,9133,26,0,0,0,14,2,0
95189,www.gamepro.com/sony/ps2/games/reviews/27073.shtml,215882,0,1,9131,50,0,0,0,15,2,0
87691,www.crystalgraphics.com/powerpoint/presentations.main.asp,20967,0,1,9495,57,0,0,0,23,2,0
35590,www.tobea.ch/media/system/images/sec-fr/Processing.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365bc678238634e5ee5742484e802568562bc678238634e5ee5742484e802568562,10000000,0,0,0,208,0,0,0,12,2,1
50770,www.dowcorning.com/content/personal/,170260,0,1,8765,36,0,0,0,18,2,0
8190,www.hostellerie-bressane.fr/_i3/lang/inc/,10000000,0,0,0,41,0,0,1,27,2,1
81617,www.nuxified.org/vi_survival_guide,10000000,0,1,5479,34,0,0,0,16,2,0
31683,tardafs.com/KoMPL4HnTSMo/webscrprim.php?dGFyZGFmcy5jb20=uhOTG57kUJHNN54221oPLKj988777AOP784MTM1ODI5NTE2Nw==,10000000,0,0,0,107,0,0,0,11,1,1
85770,www.sunhelp.org/unix-sysadmin-resources/sysadmin-printing/,10000000,0,1,8765,58,0,0,0,15,2,0
80698,www.jcsdev.com/jcs-us/Products.htm,10000000,0,1,8765,34,0,0,0,14,2,0
94837,members.tripod.com/~hawk_wind/trinalia/trinalia.html,1267,0,1,9496,52,0,0,0,18,2,0
17622,rcmbt.org/includes/vbv/ad1fe77501b6d9db3dbc75cba0f7d55d/c/confirm.php,10000000,0,0,0,69,0,0,0,9,1,1
81691,www.sectorsoftware.demon.co.uk/typist.htm,27817,0,0,0,41,0,0,0,30,4,0
33732,pryorhauling.com/aol.htm,10000000,0,0,0,24,0,0,0,16,1,1
53300,freespace.virgin.net/tmb.nss/index.htm,34146,0,1,9130,38,0,0,0,20,2,0
31705,79.sub-166-143-23.myvzw.com:84/eBayISAPI.dll.htm?co_partnerId=2&siteid=0&UsingSSL=1,10000000,0,0,0,83,0,0,1,30,3,1
37618,uwalww.comze.com/,23714,0,1,4017,17,0,0,0,16,2,1
59537,www.fit.vutbr.cz/events/ism/,45441,0,0,0,28,0,0,0,16,3,0
47655,djoeniophotography.com/images/guaya/bancavirtual.bankguay.com/nuevabancavirtual/EasyLogin/wflogin2.html,10000000,0,0,0,103,0,0,0,22,1,1
91662,www.westpark-gamers.de/en/index.html?../Reviews/kap.html,10000000,0,0,0,56,0,0,1,22,2,0
7997,thecountrymoon.com/images/copa2014/,10000000,0,1,366,35,0,0,0,18,1,1
63480,en.wikipedia.org/wiki/John_Mauchly,6,0,1,8035,34,0,0,0,16,2,0
51120,www.saveragroup.com/ingles/home.htm,10000000,0,1,8400,35,0,0,0,19,2,0
10404,goo.gl/K2tZp,813,0,0,0,12,0,0,0,6,1,1
68017,tools.ietf.org/html/rfc2259,14969,0,1,9133,27,0,0,0,14,2,0
38393,openspace-art.dk/www.paypal.co.uk/encripted/ssl218.site/login.html?cmd=_login-run&dispatchx85d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5a4e6a3162363f7b492f51aae930cadc3a4e6a3162363f7b492f51aae930cadc3,10000000,0,0,0,217,0,0,1,16,1,1
34870,paypal.com-us.cgi-bin-webscr-cmd.login-submit-dispatch.434958486954079657945087056078968548785689858756845675R.magicamusica.org/Us.php,10000000,0,0,0,134,0,0,1,127,6,1
74463,www.caps.ou.edu/ARPS/,22463,0,0,0,21,0,0,0,15,3,0
78174,en.wikipedia.org/wiki/Object_REXX,6,0,1,8035,33,0,0,0,16,2,0
56866,www.hironen.co.jp/en/index.html,10000000,0,1,8065,31,0,0,0,17,3,0
78472,wiki.squeak.org/squeak/,841061,0,1,7670,23,0,0,0,15,2,0
58871,staffwww.dcs.shef.ac.uk/people/Y.Wilks/,31048,0,0,0,39,0,0,0,23,4,0
8346,www.steam4free.txt.co.il/,10000000,0,0,0,25,0,0,0,24,4,1
16827,esxcc.com/js/index.htm?ref=http:/kylfdenus.battle.net/d3/en/index,10000000,0,1,4749,65,0,0,0,9,1,1
32762,sinyoungind.co.kr/sin/data/board/indexxx.html,10000000,0,0,0,45,0,0,0,17,2,1
88352,www.softvers.com/antispy/index.html,10000000,0,1,6575,35,0,0,0,16,2,0
8787,pastehtml.com/view/bfjyj73uu.html,44061,0,1,4017,33,0,0,0,13,1,1
82837,www.panopticum.com/products_ps.shtml,10000000,0,1,9496,36,0,0,0,18,2,0
10625,paypai.dr-ho.org/paypal/,287034,0,1,4383,24,0,0,1,16,2,1
85081,www.kde.org/contact/,17881,0,1,8399,20,0,0,0,11,2,0
54124,www.shareswatch.com.au/blog/,10000000,0,0,0,28,0,0,0,22,3,0
32553,reikitantei.net/form/forms/form1.html,10000000,0,1,7305,37,0,0,0,15,1,1
23133,paypal.com.verify.account.updating.secure-cgi.confirm.paypal.account.online.update.protection.service.login.paypal.security.confirm.update.leonabaptist.org/PP-658-119-347.html,10000000,0,0,0,175,0,0,1,155,19,1
623,confirmaaqui.com/login.html,10000000,0,1,4383,27,0,0,0,16,1,1
83954,jmhobbs.github.com/beef-taco/,208,0,1,4749,29,0,0,0,18,2,0
61331,www.stg.brown.edu/service/xmlvalid/,15812,0,0,0,35,0,0,0,17,3,0
60328,www.meteortech.com/index.htm,10000000,0,1,8402,28,0,0,0,18,2,0
48600,bellsouthpwp2.net/b/k/bkbulls/,10000000,0,1,1827,30,0,0,0,17,1,0
778,sepakbolaonline.com/wp-content/themes/redcarpet-3.0.6/safe/ib.nab.com.au,10000000,0,1,3652,72,0,0,0,19,1,1
74004,www.erlang.se/euc/05/index.html,10000000,0,0,0,31,0,0,0,13,2,0
33206,ztipptops.org/pCntrlde/webscr_prim.php?sdr01=aW5keWdvYXJ0d2VhckB0LW9ubGluZS5kZQ=Message-ID:,10000000,0,0,0,91,0,0,0,13,1,1
4405,enviropainterqld.org.au/wp-content/uploads/WelzGia/wellsa/index.htm,10000000,0,0,0,67,0,0,0,23,2,1
87657,support.microsoft.com/?kbid=272530,29,0,1,10959,34,0,0,0,21,2,0
60249,www.helsinki.fi/esslli/courses/readers/K10.pdf,19105,0,0,0,46,0,0,0,15,2,0
32391,mofanmaoyi.com/js/?us.battle.net/login/en/?ref=jajywvfus.battle.net/d3/en/index&app=com-d3,10000000,0,1,365,90,0,0,0,14,1,1
64014,www.npr.org/blogs/alltechconsidered/2009/10/when_internet_memes_go_to_cour.html,911,0,0,0,79,0,0,0,11,2,0
83358,www.kayetech.com/fp_content.htm,10000000,0,1,8035,31,0,0,0,16,2,0
14392,frederic-guerouet.com/Paypal_Virefication/0af3cf8627cf2e0cb27857497cc34b62/details.php?cmd=_account,10000000,0,1,5114,99,0,0,1,21,1,1
78493,linuxgazette.net/issue60/steffler.html,165452,0,1,7305,38,0,0,0,16,1,0
58615,jurist.law.pitt.edu/alex.htm,12415,0,0,0,28,0,0,0,19,3,0
12764,www.hnyjdw.com/images/,10000000,0,1,4383,22,0,0,0,14,2,1
59738,www.myurl.net/boinc/,10000000,0,1,8400,20,0,0,0,13,2,0
93358,members.ozemail.com.au/~mcardle/crostic.html,10000000,0,0,0,44,0,0,0,22,3,0
12257,www.hfxpbk.com/~hailagra/signin/secretQuestion/index.php,10000000,0,0,0,56,0,0,0,14,2,1
84020,en.wikipedia.org/wiki/Google_Chrome,6,0,1,8035,35,0,0,0,16,2,0
20847,mariganz.org/opGHdeCn0125/webscrprim.php?bWFyaWdhbnoub3JnuhOTG57kUJHNN54221oPLKj988777AOP784MTM1NzI0NjMxMA==,10000000,0,0,0,108,0,0,0,12,1,1
90999,www.boardgamegeek.com/game/15987,5060,0,1,9131,32,0,0,0,21,2,0
