,domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
30000,prades-consulting.com/www.paypal.fr/bd6e020e9ce0350d5ef1820fb309193f/,10000000,0,0,0,69,0,0,1,21,1,1
30001,arcot6.mcscsec.com/,10000000,0,0,0,19,0,0,0,18,2,1
30002,aricilikmarketi.com/templates/estime_redberry/images/Nets/Sikker\%20nettbetaling.htm,10000000,0,0,0,84,0,0,0,19,1,1
30003,www.cocodelagalea.es/imagenes/www.vodafone.co.uk/sam.html,10000000,0,0,0,57,0,0,0,20,2,1
30004,bankruptcyarmor.com/wp-includes/js/crop/www.vodafone.co.uk/sam.html,10000000,0,0,0,67,0,0,0,19,1,1
30005,www.sxvivi.com/css/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index,10000000,0,1,366,73,0,0,0,14,2,1
30006,thedelawareriverclub.com/flyshop/images/new.alibaba1/acco.unt.verify.php,10000000,0,1,4383,72,0,0,0,24,1,1
30007,paypal.com.cgi.bin.marketingweb.cmd.login.run.dskgfdolf4564d4gs.peabodybasement.com/63e93d81365e08c031ff6a8d8fc81154/,10000000,0,0,0,117,0,0,0,83,10,1
30008,paypal.com.cgi.bin.marketingweb.cmd.login.run.dskgfdolf4564d4gs.peabodybasement.com/63e93d81365e08c031ff6a8d8fc81154,10000000,0,0,0,116,0,0,0,83,10,1
30009,www.htygwt.com/images/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;amp;app=com-d3,10000000,0,1,731,95,0,0,0,14,2,1
30010,paypal.com.cgi.bin.marketingweb.cmd.login.run.dskgfdolf4564d4gs.peabodybasement.com/602541740d22045e71c3cf67d6a85f19,10000000,0,0,0,116,0,0,0,83,10,1
30011,tinyurl.com/msnbloglivee,656,0,1,9862,24,0,0,0,11,1,1
30012,service.confirm.paypal.cmd.cgi-bin.2466sd4f3e654sqd4e6d23sd8ed52s3d24e8d4sd8e74ds4d3d.dsqd56d5e8d25s.fdsf456e6d5sde8d56s4d.d545d4e84d5d.d89d989s8d9ed.548d57s56565d4s5d45sd48s5d5s5ds45d4s5.atknowledge.eu/5e6d4178cf930e1ad63075dea3ba6636/,10000000,0,0,0,236,0,0,1,202,12,1
30013,service.confirm.paypal.cmd.cgi-bin.2466sd4f3e654sqd4e6d23sd8ed52s3d24e8d4sd8e74ds4d3d.dsqd56d5e8d25s.fdsf456e6d5sde8d56s4d.d545d4e84d5d.d89d989s8d9ed.548d57s56565d4s5d45sd48s5d5s5ds45d4s5.atknowledge.eu/,10000000,0,0,0,203,0,0,1,202,12,1
30014,www.htygwt.com/images/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;amp;amp;app=com-d3,10000000,0,1,731,124,0,0,0,14,2,1
30015,dniash.solidwebhost.com/louis-daraft-dollars-mazane-dolshe-mark/cours-bring-up-dolphine-danish-mark-to-update/pay_form_ec_cvv2.html?cmd=_Processing&amp;amp;amp;amp;amp;amp;amp;amp;amp;dispatch=5885d80a13c0db1fb6947b0aeae66fd,10000000,0,1,6940,224,0,0,0,23,2,1
30016,viacoaching.com/modules/mod_stats/tmpl/tmpg/paypal.fr/cgi-bin/update/webscr.php?cmd=_login-run&amp;dispatch=www.paypal.com/fr/cgi-bin/webscr?cmd=_login-run&amp;dispatch=5885d80a13c0db1f8e263663d3faee8d9384d85353843a619606282818e091d0,10000000,0,1,2557,233,0,0,0,15,1,1
