,domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
79107,st-www.cs.illinois.edu/users/droberts/,10000000,0,0,0,38,0,0,1,22,3,0
22174,liuheng.chengxuren.com/Images/?ref=http\%3A\%2F\%2Fijoxgbyus.battle.net\%2Fd3\%2Fen\%2Findex,10000000,0,1,2557,92,0,0,0,22,2,1
87922,www.vextrasoft.com/rasterstitch.htm,10000000,0,1,6940,35,0,0,0,18,2,0
93175,froods.ca/~dschaub/google.html,10000000,0,0,0,30,0,0,0,9,1,0
31570,peypel.us.com.cgi.ngi.webscre.maps.logins.webaps.mba.homes.billings.activet.homa.pluns.5542290739f57ac719fdf5bc44d702ac3faee8d0b7e678a25d883d0fa.demo.seriport.com/welcome.0841208705nf12408av49701v245a35136a872abkqa73461/682c215c6b9eb7e421be78b835eacccb/,10000000,0,1,366,253,0,0,0,162,18,1
18106,interactuandoconlainema.edu.co/Paypal/Account/login.php,10000000,0,0,0,55,0,0,0,30,2,1
7710,dtolchinsky.home.comcast.net/~dtolchinsky/ab4redi.htm,183,0,1,8400,53,0,0,0,28,3,1
94209,members.tripod.com/~TheHound/index.html,1267,0,1,9496,39,0,0,0,18,2,0
40528,9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&attachauth=ANoY7cqijiGVEvDXd4lmpOCc30_OKJDEQJPdg3s-O4j0pxA1THMKN698ln84FPfsdnzm0GMhxKqwAhaKzm-v27mI2BYX7WyObebTZGsKx6bSv0WBh0KguT833uqgn4wXBPqJUyNZYX2p7Ubp__iVrMCdvk5ITnQFy7vTi440DktS5141ATbhReGoZFylq3r659KUMy0QDMKK6eUAAz4Ngd9qh7zkNbTXDw\%3D\%3D&attredirects=0,4570,0,1,6939,361,0,0,1,44,2,1
71284,pages.cs.wisc.edu/~paradyn/,3702,0,0,0,27,0,0,0,17,3,0
83545,www.fefe.de/muttfaq/faq.html,55308,0,0,0,28,0,0,0,11,2,0
35394,aboutabacus.com/testf/page/64403487f92811d0f93d39166659f4bb/,10000000,0,0,0,60,0,0,0,15,1,1
86372,www.bergstrand.org/brian/apps/syslogd/,10000000,0,1,6210,38,0,0,0,18,2,0
79918,www.computec.ch/projekte/atk/,10000000,0,0,0,29,0,0,0,15,2,0
15217,rekrim.addr.com/PLO5XIde/webscr.php?cmd_=session.start&sdr01=aW5mb0BqdWVyZ2VuLW1haWVyLWFyY2hpdGVrdC5kZQ==&ixh=cGV0d2lkcy5vcmcMessage-ID:&ctr_=DE,101067,0,1,8400,144,0,0,0,15,2,1
55132,www.cbsnews.com/stories/2001/01/24/48hours/main266681.shtml,747,0,1,9861,59,0,0,0,15,2,0
7345,rybsocal.com/-/GRIPNET/itaubankline.com.br/1.3/?cli=Cliente/ywWrKGoTX1/Ez9yqaIoWx.php,10000000,0,0,0,85,0,0,0,12,1,1
32965,www.guiadopaladar.com.br/images/fast_food/Promocional-2012/cadastro3.html?id=Q4TMSVZ6J9IR83GO1N15PKRDINIUA5YZV2HA2Z1XI65Z8EDQT5I2L9I63CVGEEOZVZXUGFGL5KCRA5B5R0Q3DTYWAN3ZFJ9OYU5V46YWNAKWOPYGMLWQ03VF30F6A7O2S9JAR5MNSUZ1XY979I03I17ZCRQRZHE1EC11,10000000,0,1,6210,241,0,0,0,24,3,1
20674,www.theperfectgreen.org/wp-includes/js/tinymce/langs/online.htm,10000000,0,0,0,63,0,0,0,23,2,1
67560,tools.ietf.org/html/rfc1711,14969,0,1,9133,27,0,0,0,14,2,0
90316,www.newsadmin.com/usenet.asp,10000000,0,1,7670,28,0,0,0,17,2,0
37243,www.babinet.cz/avatars/19889/hires/dir/ea3229cae48eaa1baca7c710d1e01294/,236871,0,1,7304,72,0,0,0,14,2,1
6912,www.diskonmurah.com/paypal/index.htm,10000000,0,1,1827,36,0,0,0,19,2,1
73447,www.chami.com/colorizer/,81572,0,1,8401,24,0,0,0,13,2,0
